Identifier,Title,Creator,Contributor,Publisher,Date,Language,Format,Subject,Description,Relation,Source,Type,Coverage,Rights
IMG_4750.jpg,Shelter-in-Place Garden Harvest,"Durham, Ella",,,2020:09:01 09:47:46,,image/jpeg 1200x1600,"Backyard gardens (sh86001969), Harvesting (sh00006000), Tomatoes (sh85135924), Peppers (sh85099673), Kettles (sh85072103), COVID-19 (sh2020000570)",A bowl of tomatoes and a bowl of peppers from a garden on a countertop next to a tea kettle and cup.,,,photo,"Private residence in Lincoln, Nebraska—Kitchen","Anti-copyright. The author of this work hereby waives all claim of copyright in this work and immediately places it in the public domain; it may be used, distorted or destroyed in any manner whatsoever without further attribution or notice to the creator."
IMG_4769.jpg,"Newly Formed Compost Pile, Yard-work Piles, and Demolition Pile ","Durham, Ella",,,2020:09:01 16:03:25,,image/jpeg 1600x1200,"Fuelwood (sh85052228), Compost (sh85029409), Straw (sh85128535), Lathing (sh85074868), Yard waste (sh91003730), Buterfly bushes (sh2007006526), Trees (sj96006299), COVID-19 (sh2020000570)","A backyard with a pile of firewood, a compost pile, pile of straw, pile of wood lath, and a pile of yard brush from left to right in front of a lilac bush.",,,photo,"Private residence in Lincoln, Nebraska—Backyard","Anti-copyright. The author of this work hereby waives all claim of copyright in this work and immediately places it in the public domain; it may be used, distorted or destroyed in any manner whatsoever without further attribution or notice to the creator."
IMG_4782.jpg,Quarantine Preparedness Food Stores,"Durham, Ella",,,2020:09:01 16:08:47,,image/jpeg 1200x1600,"Quarantine (sh2009001127), Preparedness (sh85106384), Public health (sh85108638), Food (sh99005367), Survival and emergency rations (sh85130880), COVID-19 (sh2020000570)","Two bottom kitchen cabinet drawers pulled open full with shelf-stable foods such as canned beans, soups, juice, pasta, crackers, and granola bars. ",,,photo,"Private residence in Lincoln, Nebraska—Kitchen","Anti-copyright. The author of this work hereby waives all claim of copyright in this work and immediately places it in the public domain; it may be used, distorted or destroyed in any manner whatsoever without further attribution or notice to the creator."
IMG_4785.jpg,Stocked Herbal Tea and Medicine Cabinet,"Durham, Ella",,,2020:09:01 16:11:21,,image/jpeg 1600x1200,"Health (sh85059518), Medicinal Herbs (sh85060354), Herbal teas (sh85060334), Magnesium (sh85079651), COVID-19 (sh2020000570)","Kitchen cabinet shelf full of herbal teas for immune support and mental wellness, herbal tinctures, magnesium supplement, and apple cider vinegar.",,,photo,"Private residence in Lincoln, Nebraska—Kitchen","Anti-copyright. The author of this work hereby waives all claim of copyright in this work and immediately places it in the public domain; it may be used, distorted or destroyed in any manner whatsoever without further attribution or notice to the creator."
IMG_4917.jpg,Conventional v. Plant-Derived Dish Soap,"Durham, Ella",,,2020:09:01 09:54:01,,image/jpeg 1600x1200,"Consumer behavior (sh87006429), Soap (sh85123820), Antibacterial agents (sh85005635), Biodegradable products (sh2004007270), COVID-19 (sh2020000570)","The edge of a kitchen sink with a large bottle conventional antibacterial dish soap in front of a smaller, plant-derived and  biodegradable dish soap in front of an open window with a potted plant on the windowsill.",,,photo,"Private residence in Lincoln, Nebraska—Kitchen","Anti-copyright. The author of this work hereby waives all claim of copyright in this work and immediately places it in the public domain; it may be used, distorted or destroyed in any manner whatsoever without further attribution or notice to the creator."
IMG_4923.jpg,Home Renovation to Accommodate Unexpected Uses of Space,"Durham, Ella",,,2020:09:19 11:14:35,,image/jpeg 1600x1200,"Home repair and improvement (sh85040207), Construction (sh99005337), Do-it-yourself work (sh85038682), COVID-19 (sh2020000570)",A room with ladders and other construction materials and tools with a wall in progress of drywall finishing.,,,photo,"Private residence in Lincoln, Nebraska—Front Room","Anti-copyright. The author of this work hereby waives all claim of copyright in this work and immediately places it in the public domain; it may be used, distorted or destroyed in any manner whatsoever without further attribution or notice to the creator."
IMG_4925.jpg,Bathroom Shelf and Wellness Tracking Station,"Durham, Ella",,,2020:09:19 18:19:25,,image/jpeg 1600x1200,"Self-care, Health (sh85119714), Charts, diagrams, etc (sh87002373), Public health (sh85108638), COVID-19 (sh2020000570)","A bathroom shelf with two thermometers, hand lotions, decorative storage cups, a toothbrush and pen with a hand-drawn calendar with marks charting body and wellness trends.",,,photo,"Private residence in Lincoln, Nebraska—Bathroom","Anti-copyright. The author of this work hereby waives all claim of copyright in this work and immediately places it in the public domain; it may be used, distorted or destroyed in any manner whatsoever without further attribution or notice to the creator."
IMG_4929.jpg,Mail Correspondence Revival and USPS Support,"Durham, Ella",,,2020:09:19 18:26:36,,image/jpeg 1200x1600,"Postage stamps (sh85105428), Postal service (sh2001008687), Greeting cards (sh85057280), Letter writing (sh85076220), Calendar (sh85018823), Social distance (sh85123938), COVID-19 (sh2020000570)","Greeting cards, letters, stamps, saved return addresses, a calendar and other paper items pinned on a bulletin board.",,,photo,"Private residence in Lincoln, Nebraska—Kitchen","Anti-copyright. The author of this work hereby waives all claim of copyright in this work and immediately places it in the public domain; it may be used, distorted or destroyed in any manner whatsoever without further attribution or notice to the creator."
IMG_4940.jpg,"Entryway Shoe, Mask, and Sanitizer Rack","Durham, Ella",,,2020:09:19 21:15:09,,image/jpeg 1600x1200,"Public health (sh85108638), Personal protective equipment (sh85027158), Shoes (sh85121735), Sanitation (sh85117296), COVID-19 (sh2020000570)","A rack in an entry way with pairs of adult and youth shoes, dog waste bags, single use and cloth face masks, hand sanitizer and sanitizing wipes. Around the corner is a stove and kitchen cabinet.",,,photo,"Private residence in Lincoln, Nebraska—Rear Entryway","Anti-copyright. The author of this work hereby waives all claim of copyright in this work and immediately places it in the public domain; it may be used, distorted or destroyed in any manner whatsoever without further attribution or notice to the creator."
IMG_4942.jpg,Paper Grocery Bag Collection Resulting from New Store Policies,"Durham, Ella",,,2020:09:19 21:21:04,,image/jpeg 1600x1200,"Consumer behavior (sh87006429), Paper bags (sh85097597), COVID-19 (sh2020000570)",Piles of paper grocery bags in a basement with an exposed ceiling and duct-work. Reusable bags hanging on a laundry drying bar in the background.,,,photo,"Private residence in Lincoln, Nebraska—Basement","Anti-copyright. The author of this work hereby waives all claim of copyright in this work and immediately places it in the public domain; it may be used, distorted or destroyed in any manner whatsoever without further attribution or notice to the creator."
